Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
intramuscular,26.09.2007,2007,authorised,approved,31.08.2009,2009,Neoplasms; Infectious and parasitic diseases,000153196.pdf,Vaccine,Cervarix,Prevention of cervical cancer (squamous-cell carcinoma and adenocarcinoma) and its precursor lesions (cervical intraepithelial neoplasia [CIN] grades 2 and 3) caused by infection with human papillomavirus (HPV) types 16 and 18.,no,Prevention of cervical cancer (squamous-cell carcinoma and adenocarcinoma) and its precursor lesions (cervical intraepithelial neoplasia [CIN] grades 2 and 3) caused by infection with human papillomavirus (HPV) types 16 and 18.,GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Recombinant Adsorbed Bivalent Human Papillomavirus-like Particle Vaccine,no,no,injection,Not reported,NA
intramuscular,10.11.2021,2021,authorised,approved,20.01.2022,2022,Infectious and parasitic diseases,000245994.pdf,Vaccine,Comirnaty,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Pfizer Japan Inc.,Pfizer,Not reported,Coronavirus Modified Uridine RNA Vaccine,yes,no,Injection,Not reported,Not reported
subcutaneous,27.12.2011,2011,authorised,approved,20.07.2012,2012,Infectious and parasitic diseases,000153343.pdf,Vaccine,Tetrabik,"Prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",no,"Prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",The Research Foundation for Microbial Diseases of Osaka University,Osaka University,Not reported,Adsorbed Diphtheria-Purified Pertussis-Tetanus-Inactivated Polio (Sabin strain) Combined Vaccine,yes,no,suspension,Not reported,Not reported
oral,10.08.2018,2018,authorised,approved,28.05.2019,2019,Mental and behavioural disorders,000235724.pdf,Small molecule,Intuniv,Attention-deficit/hyperactivity disorder (AD/HD) in adults,yes,Attention-deficit/hyperactivity disorder (AD/HD) in pediatric patients,"Shionogi & Co., Ltd.",Shionogi,Not reported,Guanfacine,yes,no,tablet,Not reported,Not reported
oral,30.09.2009,2009,authorised,approved,26.08.2010,2010,Diseases of the blood and blood-forming organs,000208512.pdf,Small molecule,Revolade,Chronic idiopathic thrombocytopenic purpura,no,Idiopathic thrombocytopenic purpura,GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Eltrombopag,no,yes,tablet,Not reported,NA
Intravenous,16.04.2015,2015,authorised,approved,26.02.2016,2016,Diseases of the blood and blood-forming organs,000219621.pdf,Biologics,Adynovate,Control of bleeding tendency in patients with blood coagulation factor VIII deficiency,no,Control of bleeding tendency in patients with blood coagulation factor VIII deficiency,Baxter Limited,Baxter,Not reported,Rurioctocog Alfa Pegol,no,no,Lyophilized powder,Not reported,NA
intramuscular,18.04.2017,2017,authorised,approved,02.03.2018,2018,Infectious and parasitic diseases,000233792.pdf,Vaccine,Shingrix,Prevention of herpes zoster,no,Prevention of herpes zoster and postherpetic neuralgia,"Japan Vaccine Co., Ltd.",Japan Vaccine,Not reported,Dried Recombinant Herpes Zoster Vaccine,no,no,lyophilized product,Not reported,NA
subcutaneous,21.01.2010,2010,authorised,approved,29.11.2010,2010,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000153747.pdf,Biologics,Stelara,Psoriasis vulgaris and psoriatic arthritis in patients who have had an inadequate response to conventional therapy,no,Moderate to severe psoriasis vulgaris; Psoriatic arthritis with moderate to severe plaque psoriasis,Janssen Pharmaceutical K.K.,Janssen,Not reported,Ustekinumab,no,no,solution,Not reported,NA
oral,25.12.2015,2015,authorised,approved,09.09.2016,2016,Infectious and parasitic diseases,000222648.pdf,Small molecule,Rebetol,Suppression of viremia in serogroup 2 (genotype 2) chronic hepatitis C patients,yes,Suppression of viremia in serogroup 2 (genotype 2) chronic hepatitis C patients,MSD K.K.,MSD,Not reported,Ribavirin,no,no,capsule,Not reported,NA
intravenous,31.03.2009,2009,authorised,approved,26.02.2010,2010,Diseases of the blood and blood-forming organs,000153009.pdf,Biologics,Soliris,Reduction of hemolysis in patients with paroxysmal nocturnal hemoglobinuria,no,Paroxysmal nocturnal hemoglobinuria,Alexion Pharma K.K.,Alexion,Not reported,Eculizumab,yes,yes,solution,Not reported,Not reported
intravenous,07.12.2018,2018,authorised,approved,02.08.2019,2019,Neoplasms; Diseases of the respiratory system,000234772.pdf,Biologics,Tecentriq,Unresectable advanced or recurrent non-small cell lung cancer; Extensive-stage small cell lung cancer,yes,Unresectable small cell lung cancer,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Atezolizumab,yes,yes,Injection,Not reported,Not reported
oral,05.02.2010,2010,authorised,approved,24.11.2010,2010,Diseases of the nervous system,000207435.pdf,Small molecule,Memary,Control of the progression of dementia symptoms in patients with moderate to severe Alzheimer’s disease,no,Control of the progression of dementia symptoms in moderate to severe Alzheimer’s disease,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Memantine Hydrochloride,no,no,tablet,Not reported,NA
intravenous,24.12.2013,2013,authorised,approved,26.06.2014,2014,Neoplasms,000209430.pdf,Biologics,Opdivo,Treatment of unresectable malignant melanoma,no,Malignant melanoma,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Nivolumab,no,yes,Injection,Not reported,NA
cutaneous,28.09.2020,2020,authorised,approved,30.08.2021,2021,Diseases of the skin,000250545.pdf,Small molecule,Moizerto,Atopic dermatitis,no,Atopic dermatitis,"Otsuka Pharmaceutical Co., Ltd.",Otsuka,Not reported,Difamilast,no,no,ointment,Not reported,NA
oral,13.12.2011,2011,authorised,approved,06.09.2012,2012,Neoplasms,000153553.pdf,Small molecule,Votrient,Soft tissue sarcoma,yes,Advanced soft tissue sarcoma,GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Pazopanib Hydrochloride,no,yes,tablet,Not reported,NA
intravenous,09.06.2023,2023,authorised,approved,04.03.2024,2024,Neoplasms; Diseases of the digestive system,000272323.pdf,Biologics,Vyloy,CLDN18.2-positive unresectable advanced or recurrent gastric cancer,no,"CLDN18.2-positive locally advanced, unresectable or metastatic gastric cancer",Astellas Pharma Inc.,Astellas,Not reported,Zolbetuximab,no,no,lyophilized powder,Not reported,NA
intravenous,05.11.2015,2015,authorised,approved,10.08.2016,2016,Diseases of the nervous system,000223352.pdf,Biologics,Kenketu Glovenin-I,Guillain-Barré syndrome (for patients with severe GBS in the acute exacerbation phase and difficulty in walking),yes,Guillain-Barré syndrome (for patients with severe GBS in the acute exacerbation phase and difficulty in walking),"Nihon Pharmaceutical Co., Ltd.",Nihon,Not reported,Polyethylene Glycol-treated Human Normal Immunoglobulin,yes,no,Lyophilized powder,Not reported,Not reported
oral,08.10.2019,2019,authorised,approved,04.09.2020,2020,Diseases of the musculoskeletal system and connective tissue,000247830.pdf,Small molecule,Jyseleca,Rheumatoid arthritis in patients who have had an inadequate response to conventional therapies (including the prevention of structural joint damage),no,Rheumatoid arthritis in patients who have had an inadequate response to conventional therapies (including the prevention of structural joint damage),Gilead Sciences K.K.,Gilead,Not reported,Filgotinib Maleate,no,no,tablet,Not reported,NA
Inhalation,07.10.2015,2015,authorised,approved,24.06.2016,2016,Infectious and parasitic diseases,000222716.pdf,Small molecule,Inavir,Treatment and prophylaxis of influenza A or B virus infection,yes,Treatment and prophylaxis of influenza A or B virus infection,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Laninamivir Octanoate Hydrate,yes,no,powder,Not reported,Not reported
subcutaneous,14.07.2008,2008,authorised,approved,27.11.2009,2009,"Endocrine, nutritional, and metabolic diseases",000153180.pdf,Peptides and proteins,Victoza,Type 2 diabetes mellitus,no,Type 2 diabetes mellitus,Novo Nordisk Pharma Ltd.,Novo Nordisk,Not reported,Liraglutide,no,no,solution,Not reported,NA
intramuscular,28.09.2021,2021,authorised,approved,10.11.2021,2021,Infectious and parasitic diseases,000245968.pdf,Vaccine,Comirnaty,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Pfizer Japan Inc.,Pfizer,Not reported,Coronavirus Modified Uridine RNA Vaccine,yes,no,injection,Not reported,Not reported
intravenous,25.12.2014,2014,authorised,approved,09.10.2015,2015,Diseases of the skin,000223353.pdf,Biologics,Kenketu Glovenin-I,Bullous pemphigoid (for patients with BP inadequately responsive to corticosteroids),yes,Bullous pemphigoid (for patients with BP inadequately responsive to corticosteroids),"Nihon Pharmaceutical Co., Ltd.",Nihon,Not reported,Polyethylene Glycol-treated Human Normal Immunoglobulin,yes,no,Lyophilized powder,Not reported,Not reported
oral,30.07.2020,2020,authorised,approved,26.05.2021,2021,"Endocrine, nutritional, and metabolic diseases",000246722.pdf,Small molecule,Twymeeg,Type 2 diabetes mellitus,no,Type 2 diabetes mellitus,"Sumitomo Dainippon Pharma Co., Ltd.",Sumitomo Dainippon,Not reported,Imeglimin Hydrochloride,no,no,tablet,Not reported,NA
oral,29.10.2013,2013,authorised,approved,26.06.2014,2014,Infectious and parasitic diseases,000209021.pdf,Small molecule,Daklinza,Improvement of viraemia in patients with chronic hepatitis C serogroup 1 or with compensated cirrhosis,no,Improvement of viraemia in patients with chronic hepatitis C serogroup 1 or with compensated cirrhosis,Bristol-Myers K.K.,Bristol-Myers,Not reported,Daclatasvir,no,no,tablet,Not reported,NA
epicutaneous,22.12.2014,2014,authorised,approved,31.08.2015,2015,Diseases of the skin,000216840.pdf,Small molecule,Allergen Scratch Extract Positive control “TORII”,Positive control to evaluate skin reactions to allergens,yes,Positive control to evaluate skin reaction for a diagnosis of allergy,Japan Tobacco Inc.,Japan Tobacco,Not reported,Histamine dihydrochloride,yes,no,solution,Not reported,Not reported
oral,30.05.2013,2013,authorised,approved,24.02.2014,2014,Diseases of the genitourinary system,000208511.pdf,Small molecule,Samsca,Slowing of the progression of autosomal dominant polycystic kidney disease,yes,Slowing of the progression of autosomal dominant polycystic kidney disease,"Otsuka Pharmaceutical Co., Ltd.",Otsuka,Not reported,Tolvaptan,yes,yes,tablet,Not reported,Not reported
intravenous,20.12.2016,2016,authorised,approved,08.09.2017,2017,Neoplasms; Diseases of the blood and blood-forming organs,000234203.pdf,Biologics,Darzalex,Relapsed or refractory multiple myeloma,no,Relapsed or refractory multiple myeloma,Janssen Pharmaceutical K.K.,Janssen,Not reported,Daratumumab,no,yes,solution,Not reported,NA
intravenous,30.11.2018,2018,authorised,approved,07.08.2019,2019,Neoplasms; Diseases of the digestive system; Diseases of the respiratory system,000234773.pdf,Small molecule,Abraxane,"Breast cancer, gastric cancer, non-small cell lung cancer, and unresectable pancreatic cancer",yes,"Breast cancer, gastric cancer, non-small cell lung cancer, and unresectable pancreatic cancer","Taiho Pharmaceutical Co., Ltd.",Taiho,Not reported,Paclitaxel,yes,no,suspension,Not reported,Not reported
intravenous,26.02.2008,2008,authorised,approved,31.08.2009,2009,Neoplasms; Diseases of the blood and blood-forming organs,000153036.pdf,Biologics,Rasuritek,Hyperuricemia associated with cancer chemotherapy,no,Treatment and prophylaxis of acute hyperuricemia associated with the treatment of hematological malignancies,Sanofi-aventis K.K.,Sanofi-aventis,Not reported,Rasburicase,no,no,injection,Not reported,NA
oral,13.02.2013,2013,authorised,approved,22.08.2013,2013,Diseases of the nervous system,000153750.pdf,Small molecule,Vyndaqel,Delay of peripheral neurologic impairment in patients with transthyretin familial amyloid polyneuropathy,no,Delay of peripheral neurologic impairment in patients with transthyretin familial amyloid polyneuropathy,Pfizer Japan Inc.,Pfizer,Not reported,Tafamidis Meglumine,no,yes,capsule,Not reported,NA
intravenous,27.10.2016,2016,authorised,approved,08.09.2017,2017,Diseases of the blood and blood-forming organs,000231145.pdf,Biologics,Afstyla,Control of bleeding tendency in patients with blood coagulation factor VIII deficiency,no,Control of bleeding tendency in patients with blood coagulation factor VIII deficiency,CSL Behring K.K.,CSL Behring,Not reported,Lonoctocog Alfa,no,no,solution,Not reported,NA
intravenous,31.07.2014,2014,authorised,approved,28.05.2015,2015,Diseases of the blood and blood-forming organs,000216795.pdf,Biologics,Acoalan,Thrombophilia due to congenital antithrombin deficiency; Disseminated intravascular coagulation (DIC) accompanied by a decrease in antithrombin,no,Thrombophilia due to congenital antithrombin deficiency; Disseminated intravascular coagulation (DIC) accompanied by a decrease in antithrombin,"Kyowa Hakko Kirin Co., Ltd.",Kyowa Hakko Kirin,Not reported,Antithrombin Gamma,no,no,Lyophilized powder,Not reported,NA
intramuscular,10.11.2021,2021,authorised,approved,15.12.2021,2021,Infectious and parasitic diseases,000249129.pdf,Vaccine,COVID-19 Vaccine Moderna,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Takeda Pharmaceutical Company Limited,Takeda,Not reported,Coronavirus Modified Uridine RNA Vaccine,yes,no,suspension,Not reported,Not reported
subcutaneous,19.12.2016,2016,authorised,approved,03.12.2018,2018,Diseases of the musculoskeletal system and connective tissue,000232793.pdf,Biologics,Evenity,Osteoporosis with a high risk of fracture,no,Osteoporosis with a high risk of fracture,Amgen Astellas BioPharma K.K.,Amgen Astellas,Not reported,Romosozumab,no,no,injection,Not reported,NA
oral,31.03.2016,2016,authorised,approved,11.11.2016,2016,Infectious and parasitic diseases,000222576.pdf,Small molecule,Vemlidy,Suppression of hepatitis B virus replication in chronic hepatitis B patients with evidence of viral replication and abnormal liver function,no,Suppression of hepatitis B virus replication in chronic hepatitis B patients with evidence of viral replication and abnormal liver function,Gilead Sciences K.K.,Gilead,Not reported,Tenofovir Alafenamide Fumarate,no,no,tablet,Not reported,NA
Oral,26.03.2020,2020,authorised,approved,27.01.2021,2021,"Neoplasms; Diseases of the blood and blood-forming organs; Endocrine, nutritional, and metabolic diseases; Diseases of the skin",000252521.pdf,Small molecule,Thaled,Relapsed or refractory multiple myeloma; Erythema nodosum leprosum; Crow-Fukase (POEMS) syndrome,yes,Crow-Fukase (POEMS) syndrome,Fujimoto Pharmaceutical Corporation,Fujimoto,Not reported,Thalidomide,yes,yes,capsule,Not reported,Not reported
intravenous,11.12.2015,2015,authorised,approved,05.08.2016,2016,Neoplasms; Diseases of the genitourinary system,000223202.pdf,Biologics,Opdivo,Treatment of unresectable or metastatic renal cell carcinoma,yes,Treatment of unresectable or metastatic renal cell carcinoma,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Nivolumab,yes,no,injection,Not reported,Not reported
oral,27.04.2016,2016,authorised,approved,30.05.2017,2017,Infectious and parasitic diseases; Diseases of the nervous system,000227731.pdf,Small molecule,Amenalief,Herpes zoster,no,Herpes zoster,"Maruho Co., Ltd.",Maruho,Not reported,Amenamevir,no,no,tablet,Not reported,NA
oral,20.10.2014,2014,authorised,approved,10.07.2015,2015,Diseases of the circulatory system,000217011.pdf,Small molecule,Artist,tachycardiac atrial fibrillation,yes,tachycardiac atrial fibrillation,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Carvedilol,yes,no,tablet,Not reported,Not reported
sublingual,24.04.2014,2014,authorised,approved,21.01.2015,2015,Diseases of the respiratory system,000213143.pdf,Other,Actair,Desensitization therapy for house dust mite antigen-induced allergic rhinitis,no,House dust mite antigen-induced allergic rhinitis,"Shionogi & Co., Ltd.",Shionogi,Not reported,None,yes,no,tablet,Not reported,Not reported
sublingual,26.01.2015,2015,authorised,approved,31.08.2015,2015,Diseases of the respiratory system,000214453.pdf,Other,Miticure,Desensitization therapy for allergic rhinitis induced by mite allergens,no,Desensitization therapy for allergic rhinitis induced by mite allergens,"Torii Pharmaceutical Co., Ltd.",Torii,Not reported,None,yes,no,tablet,Not reported,Not reported
oral,26.06.2012,2012,authorised,approved,26.04.2013,2013,"Endocrine, nutritional, and metabolic diseases",000153624.pdf,Small molecule,Topiloric,"Gout, hyperuricaemia",no,"Gout, hyperuricaemia","Fujiyakuhin Co., Ltd.; Sanwa Kagaku Kenkyusho Co., Ltd.",Fujiyakuhin; Sanwa Kagaku Kenkyusho,Not reported,Topiroxostat,no,no,tablet,Not reported,NA
intravenous,15.01.2018,2018,authorised,approved,03.08.2018,2018,Neoplasms; Diseases of the genitourinary system,000233404.pdf,Biologics,Yervoy,Unresectable malignant melanoma; Unresectable or metastatic renal cell carcinoma,yes,Unresectable malignant melanoma; Unresectable or metastatic renal cell carcinoma,Bristol-Meyers Squibb K.K.,Bristol-Meyers Squibb,Not reported,Ipilimumab,yes,no,Injection,Not reported,Not reported
intravenous,22.12.2017,2017,authorised,approved,03.08.2018,2018,Neoplasms; Diseases of the respiratory system; Diseases of the digestive system,000233403.pdf,Biologics,Opdivo,"Treatment of unresectable malignant melanoma; Treatment of unresectable, advanced or recurrent non-small cell lung cancer; Treatment of unresectable or metastatic renal cell carcinoma; Treatment of relapsed or refractory classical Hodgkin lymphoma; Treatment of recurrent or distant metastatic head and neck cancer; Treatment of unresectable, advanced or recurrent gastric cancer that has progressed after cancer chemotherapy; Treatment of unresectable, advanced or recurrent malignant pleural mesothelioma that has progressed after cancer chemotherapy",yes,Not reported,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Nivolumab,yes,yes,infusion,Not reported,Not reported
cutaneous,20.10.2014,2014,authorised,approved,31.08.2015,2015,Diseases of the musculoskeletal system and connective tissue,000225702.pdf,Small molecule,Loqoa,Relief of pain and inflammation associated with osteoarthritis,no,Relief of pain and inflammation associated with osteoarthritis,"Taisho Pharmaceutical Co., Ltd.",Taisho,Not reported,Esflurbiprofen,no,no,plaster,Not reported,NA
oral,17.08.2018,2018,authorised,approved,17.07.2019,2019,Neoplasms; Diseases of the digestive system,000233503.pdf,Small molecule,Lonsurf,Unresectable advanced or recurrent gastric cancer progressing after cancer chemotherapy,yes,Unresectable advanced or recurrent gastric cancer,"Taiho Pharmaceutical Co., Ltd.",Taiho,Not reported,Trifluridine and Tipiracil Hydrochloride,yes,no,tablet,Not reported,Not reported
intravenous,29.01.2013,2013,authorised,approved,26.08.2013,2013,Neoplasms,000153735.pdf,Biologics,Kadcyla,HER2-positive inoperable or recurrent breast cancer,no,HER2-positive inoperable or recurrent breast cancer,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Trastuzumab Emtansine,no,no,Lyophilized powder,Not reported,NA
intramuscular,07.09.2023,2023,authorised,approved,17.11.2023,2023,Infectious and parasitic diseases,000270669.pdf,Vaccine,Daichirona,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Coronavirus (SARS-CoV-2) RNA Vaccine,yes,no,injection,Not reported,Not reported
intravenous,26.09.2019,2019,authorised,approved,28.02.2020,2020,Diseases of the musculoskeletal system and connective tissue; Congenital malformations and chromosomal abnormalities,000237467.pdf,Peptides and proteins,Viltepso,Duchenne muscular dystrophy with a deletion in the dystrophin gene amenable to exon 53 skipping therapy,no,Duchenne muscular dystrophy with a deletion in the dystrophin gene amenable to exon 53 skipping therapy,"Nippon Shinyaku Co., Ltd.",Nippon Shinyaku,Not reported,Viltolarsen,no,yes,solution,Not reported,NA
intravenous,23.07.2015,2015,authorised,approved,16.05.2016,2016,Neoplasms; Diseases of the respiratory system,000221104.pdf,Biologics,Cyramza,Unresectable advanced/recurrent non-small cell lung cancer,yes,Unresectable advanced/recurrent non-small cell lung cancer,Eli Lilly Japan K.K.,Eli Lilly,Not reported,Ramucirumab,yes,no,Injection,Not reported,Not reported
subcutaneous,20.03.2015,2015,authorised,approved,27.11.2015,2015,"Endocrine, nutritional, and metabolic diseases",000217925.pdf,Biologics,Repatha,"Familial hypercholesterolemia, hypercholesterolemia",no,"Hypercholesterolemia, heterozygous familial hypercholesterolemia, homozygous familial hypercholesterolemia",Amgen Astellas BioPharma K.K.,Amgen Astellas,Not reported,Evolocumab,no,no,solution,Not reported,NA
oral,14.10.2014,2014,authorised,approved,28.05.2015,2015,Diseases of the respiratory system,000214531.pdf,Small molecule,Ofev,Idiopathic pulmonary fibrosis,no,Treatment of idiopathic pulmonary fibrosis and slowing of disease progression,"Nippon Boehringer Ingelheim Co., Ltd.",Boehringer Ingelheim,Not reported,Nintedanib,no,yes,capsule,Not reported,NA
Intravenous,26.04.2021,2021,authorised,approved,09.02.2022,2022,Neoplasms; Diseases of the digestive system,000263434.pdf,Biologics,Perjeta,Unresectable advanced or recurrent HER2-positive colorectal cancer that has progressed after cancer chemotherapy,yes,HER2-positive breast cancer; Unresectable advanced or recurrent HER2-positive colorectal cancer,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Pertuzumab,yes,no,infusion,Not reported,Not reported
intrathecal,07.12.2016,2016,authorised,approved,09.06.2017,2017,Diseases of the nervous system,000228334.pdf,Other,Spinraza,infantile spinal muscular atrophy,no,spinal muscular atrophy,Biogen Japan Ltd.,Biogen,Not reported,Nusinersen,no,yes,solution,Not reported,NA
oral,13.03.2013,2013,authorised,approved,29.11.2013,2013,"Endocrine, nutritional, and metabolic diseases",000206796.pdf,Small molecule,Suglat,Type 2 diabetes mellitus,no,Type 2 diabetes mellitus,Astellas Pharma Inc.,Astellas,Not reported,Ipragliflozin,no,no,tablet,Not reported,NA
intramuscular,25.05.2023,2023,authorised,approved,05.10.2023,2023,Infectious and parasitic diseases,000274240.pdf,Vaccine,Spikevax,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),"Moderna Japan Co., Ltd.",Moderna,Not reported,Coronavirus RNA Vaccine,yes,no,suspension,Not reported,Not reported
oral,03.12.2021,2021,authorised,approved,24.12.2021,2021,Infectious and parasitic diseases,000245005.pdf,Small molecule,Lagevrio,Treatment of disease caused by SARS-CoV-2 infection (COVID-19),no,Treatment of disease caused by SARS-CoV-2 infection (COVID-19),MSD K.K.,MSD,Not reported,Molnupiravir,yes,no,capsule,Not reported,Not reported
oral,21.10.2013,2013,authorised,approved,26.05.2014,2014,Diseases of the respiratory system,000209869.pdf,Small molecule,Rapalimus,Lymphangioleiomyomatosis,no,Lymphangioleiomyomatosis,"Nobelpharma Co., Ltd.",Nobel,Not reported,Sirolimus,yes,yes,tablet,Not reported,Not reported
oral,29.01.2020,2020,authorised,approved,04.12.2020,2020,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000243471.pdf,Small molecule,Olumiant,Rheumatoid arthritis in patients who have had an inadequate response to conventional treatments (including the prevention of structural joint damage); Moderate to severe atopic dermatitis,yes,Moderate to severe atopic dermatitis,Eli Lilly Japan K.K.,Eli Lilly,Not reported,Baricitinib,yes,no,tablet,Not reported,Not reported
subcutaneous,30.11.2016,2016,authorised,approved,27.07.2017,2017,Diseases of the musculoskeletal system and connective tissue; Diseases of the circulatory system,000224730.pdf,Biologics,Actemra,Treatment of rheumatoid arthritis (including the inhibition of progression of structural joint damage); Takayasu’s arteritis or giant cell arteritis,yes,Treatment of rheumatoid arthritis with an inadequate response to existing therapies; Treatment of large vessel vasculitis (Takayasu’s arteritis or giant cell arteritis),"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Tocilizumab,yes,yes,Injection,Not reported,Not reported
oral,30.06.2014,2014,authorised,approved,20.02.2015,2015,"Endocrine, nutritional, and metabolic diseases",000215814.pdf,Small molecule,Cerdelga,"Alleviation of symptoms of Gaucher disease (anemia, thrombocytopenia, hepatosplenomegaly, and skeletal pathology)",no,Gaucher disease type 1,Genzyme Japan K.K.,Genzyme,Not reported,Eliglustat,no,yes,capsule,Not reported,NA
