Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency,Indications_and_usage,Origin,Referral,Marketing_authorisation_holder_extracted,Disease_name(s),DRUG_CODE
,emea/h/c/001161,imprida hct,amlodipine besylate / valsartan / hydrochlorothiazide,novartis europharm limited,small molecule,tablet,oral,approved,withdrawn,23.07.2009,2009,no,no,"treatment of essential hypertension. imprida hct is indicated as replacement therapy in patients whose blood pressure is adequately controlled on amlodipine, valsartan and hydrochlorothiazide (hct) used as individual or combination therapies.","treatment of essential hypertension as substitution therapy in adult patients whose blood pressure is adequately controlled on the combination of amlodipine, valsartan and hydrochlorothiazide (hct), taken either as three single-component formulations or as a dual-component and a single-component formulation.",diseases of the circulatory system,26.03.2009,2009,yes,chmp,imprida-hct-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/26554/2020,emea/h/c/004465/0000,evenity,romosozumab,ucb pharma s.a.,biologics,solution,subcutaneous,approved,authorised,17.10.2019,2019,no,no,treatment of osteoporosis in postmenopausal women and in men at increased risk of fractures,severe osteoporosis in postmenopausal women at high risk of fracture,diseases of the musculoskeletal system and connective tissue,21.11.2017,2017,no,na,evenity-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/480039/2015,emea/h/c/003834/0000,raxone,idebenone,santhera pharmaceuticals (deutschland) gmbh,small molecule,tablet,oral,approved,authorised,25.06.2015,2015,yes,no,treatment of patients 14 years of age and older with leber’s hereditary optic neuropathy (lhon),treatment of patients 14 years of age and older with leber’s hereditary optic neuropathy (lhon),diseases of the eye and adnexa,04.05.2014,2014,no,na,raxone-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/chmp/66633/2011,emea/h/c/002018,jevtana,cabazitaxel,sanofi-aventis,small molecule,concentrate,intravenous,approved,authorised,20.01.2011,2011,no,no,jevtana in combination with prednisone or prednisolone is indicated for the treatment of patients with hormone refractory metastatic prostate cancer previously treated with a docetaxel containing regimen.,jevtana in combination with prednisone or prednisolone is indicated for the treatment of patients with hormone refractory metastatic prostate cancer previously treated with a docetaxel-containing regimen.,neoplasms; diseases of the genitourinary system,20.04.2010,2010,no,na,jevtana-epar-public-assessment-report_en.pdf,EMA,,,,,,
,emea/h/c/002068,ioa,nomegestrol/estradiol,n.v. organon,small molecule,tablet,oral,approved,withdrawn,22.03.2011,2011,no,no,oral contraception in fertile women including post-menarcheal adolescents from age of 12 years.,oral contraception,diseases of the genitourinary system,03.12.2009,2009,no,na,ioa-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/chmp/453325/2012,emea/h/c/002406,inlyta,axitinib,pfizer ltd.,small molecule,tablet,oral,approved,authorised,24.05.2012,2012,yes,no,treatment of adult patients with advanced renal cell carcinoma (rcc) after failure of prior systemic treatment,treatment of adult patients with advanced renal cell carcinoma (rcc) after failure of prior treatment with sunitinib or a cytokine,neoplasms; diseases of the genitourinary system,19.04.2011,2011,no,na,inlyta-epar-public-assessment-report_en.pdf,EMA,,,,,,
,emea/h/c/002198,temozolomide sun,temozolomide,sun pharmaceutical industries europe b.v,small molecule,capsule,oral,approved,authorised,19.05.2011,2011,no,no,"adult patients with newly-diagnosed glioblastoma multiforme concomitantly with radiotherapy and subsequently as monotherapy treatment; children from the age of three years, adolescents and adult patients with malignant glioma, such as glioblastoma multiforme or anaplastic astrocytoma, showing recurrence or progression after standard therapy","adult patients with newly-diagnosed glioblastoma multiforme concomitantly with radiotherapy and subsequently as monotherapy treatment; children from the age of three years, adolescents and adult patients with malignant glioma, such as glioblastoma multiforme or anaplastic astrocytoma, showing recurrence or progression after standard therapy",neoplasms; diseases of the nervous system,29.06.2010,2010,yes,,temozolomide-sun-epar-public-assessment-report_en.pdf,EMA,,,,,,
,emea/h/c/001043,multaq,dronedarone,sanofi-aventis,small molecule,tablet,oral,approved,authorised,24.09.2009,2009,no,no,"multaq is indicated in patients with a history of, or current atrial fibrillation or atrial flutter, for the reduction of the risk of cardiovascular hospitalization or death.","multaq is indicated in stable patients with either a recent history of, or current non-permanent atrial fibrillation.",diseases of the circulatory system,03.07.2008,2008,no,na,multaq-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/281112/2024,emea/h/c/006214/0000,zegalogue,dasiglucagon,zealand pharma a/s,peptides and proteins,solution,subcutaneous,approved,authorised,30.05.2024,2024,no,no,"treatment of severe hypoglycaemia in adults, adolescents, and children aged 6 years and over with diabetes mellitus","treatment of severe hypoglycaemia in adults, adolescents, and children aged 6 years and over with diabetes mellitus","endocrine, nutritional, and metabolic diseases",23.06.2023,2023,no,na,zegalogue-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/481595/2023,emea/h/c/005731/0000,aqumeldi,enalapril maleate,proveca pharma limited,small molecule,tablet,oral,approved,authorised,14.09.2023,2023,no,no,treatment of heart failure in children from birth to less than 18 years,treatment of heart failure in children from birth to less than 18 years,diseases of the circulatory system,07.03.2022,2022,yes,,aqumeldi-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/chmp/715701/2017,emea/h/c/004174/0000,ozempic,semaglutide,novo nordisk a/s,peptides and proteins,solution,subcutaneous,approved,authorised,14.12.2017,2017,no,no,glycaemic control in adults with type 2 diabetes mellitus as monotherapy or add-on therapy; prevention of cardiovascular events in adults with type 2 diabetes mellitus and high cardiovascular risk,treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise,"endocrine, nutritional, and metabolic diseases; diseases of the circulatory system",05.12.2016,2016,no,na,ozempic-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/485563/2018,emea/h/c/004090/0000,kymriah,tisagenlecleucel,novartis europharm limited,cell and gene therapy,dispersion,intravenous,approved,authorised,28.06.2018,2018,yes,no,treatment of paediatric and young adult patients aged 3 to 25 years with relapsed or refractory b-cell acute lymphoblastic leukaemia (all); adult patients with relapsed or refractory diffuse large b-cell lymphoma (dlbcl) who are ineligible for autologous stem cell transplant.,"paediatric and young adult patients up to 25 years of age with b-cell acute lymphoblastic leukaemia (all) that is refractory, in relapse post-transplant or in second or later relapse; adult patients with relapsed or refractory diffuse large b-cell lymphoma (dlbcl) after two or more lines of systemic therapy.",neoplasms; diseases of the blood and blood-forming organs,02.11.2017,2017,yes,,kymriah-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/792160/2022,emea/h/c/005787/0000,livtencity,maribavir,takeda pharmaceuticals international ag ireland branch,small molecule,tablet,oral,approved,authorised,15.09.2022,2022,yes,no,"treatment of adults with post-transplant cytomegalovirus (cmv) infection and/or disease who are resistant and/or refractory to one or more prior therapy including ganciclovir, valganciclovir, cidofovir or foscarnet.","treatment of adults with post-transplant cytomegalovirus (cmv) infection and/or disease who are resistant and/or refractory to one or more prior therapy including ganciclovir, valganciclovir, cidofovir or foscarnet.",infectious and parasitic diseases,31.05.2021,2021,no,na,livtencity-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/738656/2016,emea/h/c/003769/0000,cystadrops,mercaptamine,orphan europe s.a.r.l.,small molecule,eye drops,ocular,approved,authorised,13.10.2016,2016,yes,no,treatment of corneal cystine crystal deposits in cystinosis patients,treatment of corneal cystine crystal deposits in adults and children from 2 years of age with cystinosis,"diseases of the eye and adnexa; endocrine, nutritional, and metabolic diseases",30.07.2014,2014,yes,,cystadrops-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/374215/2009,emea/h/c/001097,controloc control,pantoprazole,nycomed gmbh,small molecule,tablet,oral,approved,authorised,19.02.2009,2009,no,yes,"treatment of reflux symptoms (e.g. heartburn, acid regurgitation)","short-term treatment of reflux symptoms (e.g. heartburn, acid regurgitation) in adults.",diseases of the digestive system,20.11.2008,2008,yes,na,controloc-control-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/627600/2021,emea/h/c/004978/0000,brukinsa,zanubrutinib,beigene ireland ltd,small molecule,capsule,oral,approved,authorised,16.09.2021,2021,no,no,"treatment of adult patients with waldenström’s macroglobulinaemia (wm), who have received at least 1 prior therapy, or in first-line treatment for patients unsuitable for chemo-immunotherapy.","treatment of adult patients with waldenström’s macroglobulinaemia (wm), who have received at least 1 prior therapy, or in first-line treatment for patients unsuitable for chemo-immunotherapy.",neoplasms; diseases of the blood and blood-forming organs,28.05.2020,2020,no,na,brukinsa-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/172260/2022,emea/h/c/005725/0000,vydura,rimegepant,biohaven pharmaceutical ireland dac,small molecule,tablet,oral,approved,authorised,24.02.2022,2022,no,no,"comprehensive management of migraine in adults, including prophylaxis of migraine and acute treatment of migraine with or without aura","comprehensive management of migraine in adults, including prophylaxis of migraine and acute treatment of migraine with or without aura",diseases of the nervous system,08.02.2021,2021,no,na,vydura-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/000000/2007,emea/h/c/000000,increlex,mecasermin,tercica europe ltd.,peptides and proteins,solution,subcutaneous,approved,authorised,,2007,yes,no,long-term treatment of growth failure in children with severe primary igf-1 deficiency (primary igfd) or with growth hormone (gh) gene deletion who have developed neutralising antibodies to gh.,"long-term treatment of growth failure in children and adolescents with severe primary insulin-like growth factor-1 deficiency (primary igfd); severe primary igfd being defined by: height standard deviation score ≤ –3.0 and basal igf-1 levels below the 2.5th percentile for age and gender and gh sufficiency exclusion of secondary forms of igf-1 deficiency, such as malnutrition, hypothyroidism, or chronic treatment with pharmacologic doses of anti-inflammatory steroids","endocrine, nutritional, and metabolic diseases",,,no,na,increlex-epar-scientific-discussion_en.pdf,EMA,,,,,,
ema/689220/2022,emea/h/c/005859/0000,illuzyce,lutetium (177lu) chloride,billev pharma aps,other,solution,,approved,authorised,21.07.2022,2022,no,no,"illuzyce is a radiopharmaceutical precursor, and it is not intended for direct use in patients. it is to be used only for the radiolabelling of carrier molecules that have been specifically developed and authorised for radiolabelling with lutetium (177lu) chloride.","illuzyce is a radiopharmaceutical precursor, and it is not intended for direct use in patients. it is to be used only for the radiolabelling of carrier molecules that have been specifically developed and authorised for radiolabelling with lutetium (177lu) chloride.","neoplasms; endocrine, nutritional, and metabolic diseases",30.07.2021,2021,yes,,illuzyce-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/41752/2011,emea/h/c/001236,lamivudine / zidovudine teva,lamivudine / zidovudine,teva pharma b.v.,small molecule,tablet,oral,approved,withdrawn,18.11.2010,2010,no,no,antiretroviral combination therapy for the treatment of human immunodeficiency virus (hiv) infection,antiretroviral combination therapy for the treatment of human immunodeficiency virus (hiv) infection,infectious and parasitic diseases,05.10.2009,2009,yes,na,lamivudinezidovudine-teva-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/179391/2014,emea/h/c/002656/0000,vokanamet,canagliflozin / metformin,janssen-cilag international n.v.,small molecule,tablet,oral,approved,authorised,20.02.2014,2014,no,no,canagliflozin/metformin is indicated in adults aged 18 years and older with type 2 diabetes mellitus to improve glycaemic control.,canagliflozin/metformin is indicated in adults aged 18 years and older with type 2 diabetes mellitus to improve glycaemic control.,"endocrine, nutritional, and metabolic diseases",04.03.2013,2013,no,na,vokanamet-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/309032/2008,emea/h/c/000891,doribax,doripenem,janssen-cilag international n.v.,small molecule,powder,intravenous,approved,withdrawn,25.07.2008,2008,no,no,"treatment of complicated urinary tract infections, complicated intra-abdominal infections, and nosocomial pneumonia including ventilator-associated pneumonia","treatment of complicated urinary tract infections, complicated intra-abdominal infections, and nosocomial pneumonia including ventilator-associated pneumonia",infectious and parasitic diseases; diseases of the respiratory system; diseases of the digestive system,27.06.2007,2007,no,na,doribax-epar-public-assessment-report_en.pdf,EMA,,,,,,
